Time,Door,Car,Speed
03:50,0610,31.0,100.0
03:50,0928,31.0,104.0
03:50,0750,31.0,102.0
03:50,0956,31.0,104.0
03:50,0880,31.0,104.0
03:50,0928,31.0,100.0
03:50,0979,31.0,102.0
03:50,1045,31.0,100.0
03:50,0950,31.0,104.0
03:50,1123,31.0,108.0
03:50,0980,31.0,102.0
03:50,1292,31.0,108.0
03:50,1045,31.0,97.0
03:50,1389,31.0,113.0
03:50,1123,31.0,104.0
03:50,1465,31.0,104.0
03:50,1292,31.0,100.0
03:50,1572,31.0,104.0
03:50,1389,31.0,104.0
03:50,1621,31.0,104.0
03:50,1465,31.0,99.0
03:50,1664,31.0,111.0
03:50,1572,31.0,104.0
03:50,1699,31.0,111.0
03:50,1621,31.0,108.0
03:50,1774,31.0,109.0
03:50,1664,31.0,104.0
03:50,1802,31.0,111.0
03:50,1699,31.0,91.0
03:50,1839,31.0,111.0
03:50,1774,31.0,118.0
03:50,1906,31.0,109.0
03:50,1802,31.0,108.0
03:50,1960,31.0,111.0
03:50,1839,31.0,104.0
03:50,2011,31.0,115.0
03:50,1906,31.0,106.0
03:50,2089,31.0,113.0
03:50,1960,31.0,109.0
03:50,2156,31.0,115.0
03:50,2011,31.0,106.0
03:50,2249,31.0,115.0
03:50,2089,31.0,108.0
03:50,2322,31.0,108.0
03:50,2156,31.0,108.0
03:50,2394,31.0,111.0
03:50,2249,31.0,109.0
03:50,2425,31.0,111.0
03:50,2322,31.0,111.0
03:50,2472,31.0,113.0
03:50,2394,31.0,111.0
03:50,2514,31.0,111.0
03:50,2425,31.0,111.0
03:50,2603,31.0,111.0
03:50,2472,31.0,108.0
03:50,2674,31.0,115.0
03:50,2514,31.0,104.0
03:50,2714,31.0,111.0
03:50,2603,31.0,108.0
03:50,2827,31.0,111.0
03:50,2674,31.0,108.0
03:50,2866,31.0,108.0
03:50,2714,31.0,111.0
03:50,2930,31.0,115.0
03:50,2827,31.0,109.0
03:50,3019,31.0,111.0
03:50,2866,31.0,113.0
03:50,3083,31.0,115.0
03:50,2930,31.0,104.0
03:50,3126,31.0,113.0
03:50,3019,31.0,104.0
03:50,3185,31.0,108.0
03:50,3083,31.0,115.0
03:50,3227,31.0,111.0
03:50,3126,31.0,111.0
03:50,3252,31.0,104.0
03:50,3185,31.0,115.0
03:50,3286,31.0,108.0
03:50,3227,31.0,115.0
03:50,3366,31.0,111.0
03:50,3252,31.0,117.0
03:50,3398,31.0,115.0
03:50,3286,31.0,115.0
03:50,3460,31.0,111.0
03:50,3366,31.0,115.0
03:50,3535,31.0,109.0
03:50,3398,31.0,111.0
03:50,3559,31.0,104.0
03:50,3460,31.0,102.0
03:50,3590,31.0,102.0
03:50,3535,31.0,102.0
03:50,3640,31.0,104.0
03:50,3561,31.0,104.0
03:50,3676,31.0,108.0
03:50,3590,31.0,100.0
03:50,3696,31.0,100.0
03:50,3640,31.0,108.0
03:50,3676,31.0,108.0
03:50,3736,31.0,0.0
03:50,3686,31.0,0.0
03:50,0099,31.0,117.0
03:50,0200,31.0,100.0
03:50,0208,31.0,106.0
03:50,0163,31.0,102.0
03:50,0271,31.0,100.0
03:50,0340,31.0,86.0
03:50,0333,31.0,104.0
03:50,0206,31.0,100.0
03:50,0447,31.0,104.0
03:50,0305,31.0,97.0
03:50,0579,31.0,104.0
03:50,0339,31.0,104.0
03:50,0334,31.0,100.0
03:50,0633,31.0,99.0
03:50,0608,31.0,100.0
03:50,0447,31.0,102.0
03:50,0750,31.0,104.0
03:50,0578,31.0,93.0
03:50,0579,31.0,97.0
03:50,0099,31.0,0.0
03:50,0147,31.0,0.0
03:50,0174,31.0,0.0
03:50,0099,31.0,68.0
03:50,0147,31.0,104.0
03:50,0174,31.0,108.0
03:50,0511,31.0,0.0
03:50,0532,31.0,90.0
03:50,0511,31.0,0.0
03:50,0532,31.0,0.0
03:50,0980,31.0,0.0
03:50,1045,31.0,100.0
03:50,0980,31.0,100.0
03:50,1045,31.0,0.0
03:50,1621,31.0,18.0
03:50,1664,31.0,122.0
03:50,1621,31.0,0.0
03:50,1664,31.0,0.0
03:50,1906,31.0,93.0
03:50,1960,31.0,84.0
03:50,1906,31.0,0.0
03:50,1960,31.0,77.0
03:50,3126,31.0,0.0
03:50,3185,31.0,104.0
03:50,3126,31.0,93.0
03:50,3185,31.0,0.0
03:50,3590,31.0,0.0
03:50,3640,31.0,0.0
03:50,3590,31.0,0.0
03:50,3640,31.0,93.0
10:35,0029,31.0,90.0
10:35,0005,31.0,90.0
10:35,0061,31.0,90.0
10:35,0017,31.0,90.0
10:35,0099,31.0,46.0
10:35,0029,31.0,90.0
10:35,0147,31.0,46.0
10:35,0174,31.0,61.0
10:35,0061,31.0,93.0
10:35,0153,31.0,72.0
10:35,0099,31.0,86.0
10:35,0213,31.0,57.0
10:35,0147,31.0,86.0
10:35,0153,31.0,79.0
10:35,0233,31.0,57.0
10:35,0256,31.0,39.0
10:35,0182,31.0,57.0
10:35,0293,31.0,46.0
10:35,0248,31.0,90.0
10:35,0340,31.0,90.0
10:35,0264,31.0,90.0
10:35,0293,31.0,90.0
10:35,0305,31.0,90.0
